#Edge cases were chosen for all opcodes + 5 randomly generated test pairs for each opcode. 
#Edge cases are 0x00000000, 0xffffffff, 0x00000001, 0x80000000 for inputs A and B. 
#Edge cases are 00000,11111 for input Sa.
#Randomly generated test pairs for add and subtract operations were selectively chosen for V output 1 and 0. Chose two pairs negatives, two pairs positive, and one pair of positive and negative for a total of five test pairs. 

A[32] 		B[32] 		Op[4] 		Sa[5] 		C[32] 		V[1]
#C = (A == B),  opcode = 1001, Sa=0(Sa should be irrelevant)

0x00000000	0x00000000 	1001		00000				0
0x00000000 	0xffffffff	1001		00000				0
0xffffffff 	0x00000000	1001		00000				0
0xffffffff	0xffffffff 	1001		00000				0
0x00000001 	0x00000000	1001		00000				0
0x00000000	0x00000001	1001		00000				0
0xffffffff	0x00000001	1001		00000				0
0x00000001	0xffffffff	1001		00000				0
0x80000000	0x00000000 	1001		00000				0
0x00000000	0x80000000	1001		00000				0
0x80000000	0xffffffff	1001		00000				0
0xffffffff	0x80000000	1001		00000				0
0x00000008	0x00000001	1001		00000				0
0x00000001	0x00000008	1001		00000				0
0x00000001	0x00000001	1001		00000				0
0x00000008	0x00000008	1001		00000				0

#C = (A == B),  opcode = 1001, Sa=31(Sa should be irrelevant)

0x00000000	0x00000000 	1001		11111				0
0x00000000 	0xffffffff	1001		11111				0
0xffffffff 	0x00000000	1001		11111				0
0xffffffff	0xffffffff 	1001		11111				0
0x00000001 	0x00000000	1001		11111				0
0x00000000	0x00000001	1001		11111				0
0xffffffff	0x00000001	1001		11111				0
0x00000001	0xffffffff	1001		11111				0
0x80000000	0x00000000 	1001		11111				0
0x00000000	0x80000000	1001		11111				0
0x80000000	0xffffffff	1001		11111				0
0xffffffff	0x80000000	1001		11111				0
0x00000008	0x00000001	1001		11111				0
0x00000001	0x00000008	1001		11111				0
0x00000001	0x00000001	1001		11111				0
0x00000008	0x00000008	1001		11111				0

#C = (A ≤ 0),  opcode = 1111, Sa=0(Sa should be irrelevant)

0x00000000	0x00000000 	1111		00000				0
0x00000000 	0xffffffff	1111		00000				0
0xffffffff 	0x00000000	1111		00000				0
0xffffffff	0xffffffff 	1111		00000				0
0x00000001 	0x00000000	1111		00000				0
0x00000000	0x00000001	1111		00000				0
0xffffffff	0x00000001	1111		00000				0
0x00000001	0xffffffff	1111		00000				0
0x80000000	0x00000000 	1111		00000				0
0x00000000	0x80000000	1111		00000				0
0x80000000	0xffffffff	1111		00000				0
0xffffffff	0x80000000	1111		00000				0
0x00000008	0x00000001	1111		00000				0
0x00000001	0x00000008	1111		00000				0
0x00000001	0x00000001	1111		00000				0
0x00000008	0x00000008	1111		00000				0

#C = (A ≤ 0),  opcode = 1111, Sa=31(Sa should be irrelevant)

0x00000000	0x00000000 	1111		11111				0
0x00000000 	0xffffffff	1111		11111				0
0xffffffff 	0x00000000	1111		11111				0
0xffffffff	0xffffffff 	1111		11111				0
0x00000001 	0x00000000	1111		11111				0
0x00000000	0x00000001	1111		11111				0
0xffffffff	0x00000001	1111		11111				0
0x00000001	0xffffffff	1111		11111				0
0x80000000	0x00000000 	1111		11111				0
0x00000000	0x80000000	1111		11111				0
0x80000000	0xffffffff	1111		11111				0
0xffffffff	0x80000000	1111		11111				0
0x00000008	0x00000001	1111		11111				0
0x00000001	0x00000008	1111		11111				0
0x00000001	0x00000001	1111		11111				0
0x00000008	0x00000008	1111		11111				0

#C = (A > 0),  opcode = 1101, Sa=0(Sa should be irrelevant)

0x00000000	0x00000000 	1101		00000				0
0x00000000 	0xffffffff	1101		00000				0
0xffffffff 	0x00000000	1101		00000				0
0xffffffff	0xffffffff 	1101		00000				0
0x00000001 	0x00000000	1101		00000				0
0x00000000	0x00000001	1101		00000				0
0xffffffff	0x00000001	1101		00000				0
0x00000001	0xffffffff	1101		00000				0
0x80000000	0x00000000 	1101		00000				0
0x00000000	0x80000000	1101		00000				0
0x80000000	0xffffffff	1101		00000				0
0xffffffff	0x80000000	1101		00000				0
0x00000008	0x00000001	1101		00000				0
0x00000001	0x00000008	1101		00000				0
0x00000001	0x00000001	1101		00000				0
0x00000008	0x00000008	1101		00000				0

#C = (A > 0),  opcode = 1101, Sa=31(Sa should be irrelevant)

0x00000000	0x00000000 	1101		11111				0
0x00000000 	0xffffffff	1101		11111				0
0xffffffff 	0x00000000	1101		11111				0
0xffffffff	0xffffffff 	1101		11111				0
0x00000001 	0x00000000	1101		11111				0
0x00000000	0x00000001	1101		11111				0
0xffffffff	0x00000001	1101		11111				0
0x00000001	0xffffffff	1101		11111				0
0x80000000	0x00000000 	1101		11111				0
0x00000000	0x80000000	1101		11111				0
0x80000000	0xffffffff	1101		11111				0
0xffffffff	0x80000000	1101		11111				0
0x00000008	0x00000001	1101		11111				0
0x00000001	0x00000008	1101		11111				0
0x00000001	0x00000001	1101		11111				0
0x00000008	0x00000008	1101		11111				0

				
	
